x,y,U,Err(U),Err(DU),Last Update Type, DU_x,DU_y
-0.992188,-0.75,inf,inf,inf,inf,inf,0
-0.992188,-0.742188,inf,inf,inf,inf,inf,0
-0.992188,-0.734375,inf,inf,inf,inf,inf,0
-0.992188,-0.726562,inf,inf,inf,inf,inf,0
-0.992188,-0.71875,inf,inf,inf,inf,inf,0
-0.992188,-0.710938,inf,inf,inf,inf,inf,0
-0.992188,-0.703125,inf,inf,inf,inf,inf,0
-0.992188,-0.695312,inf,inf,inf,inf,inf,0
-0.992188,-0.6875,inf,inf,inf,inf,inf,0
-0.992188,-0.679688,inf,inf,inf,inf,inf,0
-0.992188,-0.671875,inf,inf,inf,inf,inf,0
-0.992188,-0.664062,inf,inf,inf,inf,inf,0
-0.992188,-0.65625,inf,inf,inf,inf,inf,0
-0.992188,-0.648438,inf,inf,inf,inf,inf,0
-0.992188,-0.640625,inf,inf,inf,inf,inf,0
-0.992188,-0.632812,inf,inf,inf,inf,inf,0
-0.992188,-0.625,inf,inf,inf,inf,inf,0
-0.992188,-0.617188,inf,inf,inf,inf,inf,0
-0.992188,-0.609375,inf,inf,inf,inf,inf,0
-0.992188,-0.601562,inf,inf,inf,inf,inf,0
-0.992188,-0.59375,inf,inf,inf,inf,inf,0
-0.992188,-0.585938,inf,inf,inf,inf,inf,0
-0.992188,-0.578125,inf,inf,inf,inf,inf,0
-0.992188,-0.570312,inf,inf,inf,inf,inf,0
-0.992188,-0.5625,inf,inf,inf,inf,inf,0
-0.992188,-0.554688,inf,inf,inf,inf,inf,0
-0.992188,-0.546875,inf,inf,inf,inf,inf,0
-0.992188,-0.539062,inf,inf,inf,inf,inf,0
-0.992188,-0.53125,inf,inf,inf,inf,inf,0
-0.992188,-0.523438,inf,inf,inf,inf,inf,0
-0.992188,-0.515625,inf,inf,inf,inf,inf,0
-0.992188,-0.507812,inf,inf,inf,inf,inf,0
-0.992188,-0.5,inf,inf,inf,inf,inf,0
-0.992188,-0.492188,inf,inf,inf,inf,inf,0
